question,answer
"And his brains and his guts, his lungs and his heart all fried in his own fat. When you're a hundred miles north of the Wall and you ate your last meal a week ago, you leave nothing for the wolves.", And how do a bear's balls taste?
"A bit chewy. And what about you, my Lord? What's the strangest thing you've eaten?"," Do Dornish girls count? So you roam the Seven Kingdoms, collaring pickpockets and horse thieves and bringing them here as eager recruits?"
But it's not all of 'em's done bad things. Some of 'em's just poor lads looking for steady feed. Some of 'em's high-born lads looking for glory., They have a better chance finding feed than glory.
"The Night's Watch is a joke to you, is it? Is that what we are, Lannister? An army of jesters in black?"," You don't have enough men to be an army and aside from Yoren here, none of you are particularly funny."
"I hope we've provided you with some good stories to tell when you're back in King's Landing. But something to think about while you're drinking your wine down there, enjoying your brothels... Half the boys you've seen training will die north of the Wall. Might be a wilding's axe that gets them, might be sickness, might just be the cold. They die in pain. And they do it so plump little lords like you can enjoy their summer afternoons in peace and comfort."," Do you think I'm plump? Listen, Benjen... May I call you Benjen?"
Call me what you like., I'm not sure what I've done to offend you. I have great admiration for the Night's Watch. I've great admiration for you as First Ranger.
"You know, my brother once told me that nothing someone says before the word ""but"" really counts."," But... I don't believe that giants and ghouls and White Walkers are lurking beyond the Wall. I believe that the only difference between us and the wildlings is that when the Wall went up, our ancestors happened to live on the right side of it."
I always do.," I think he's starting to like me. ""Going below""?"
Into the tunnel and out the other side. He'll be north of the Wall for a month or two., So you're heading down to King's Landing too.
Day after tomorrow. I get about half of my recruits from their dungeons., Let's share the road. I could use some decent company.
"I travel a bit on the grubby side, my Lord.", Not this time. We'll be staying at the finest castles and inns. No one turns away a Lannister.
"How many winters have you seen, Lord Tyrion?"," Eight... no, nine."
All of them brief?," They say the winter of my birth was three years long, Maester Aemon."
"We've been capturing wildlings, more every month. They're fleeing south. The ones who flee... say they've seen the White Walkers."," Yes, and the fishermen of Lannisport say they see mermaids."
"I'm sorry to see you leave, Lannister.", It's either me or this cold. And it doesn't appear to be going anywhere.
Will you stop at Winterfell on your way South?, I expect I will. Gods know there aren't many feather beds between here and King's Landing.
"If you see my brother Bran, tell him I miss him. Tell him I'd visit if I could.", Of course.
He'll never walk again.," If you're going to be a cripple, it's better to be a rich cripple. Take care, Snow."
Any man of the Night's Watch is welcome at Winterfell.," Any man of the Night's Watch, but not I, eh, boy?"
"I'm not your boy, Lannister. I'm Lord of Winterfell while my father is away.", Then you might learn a lord's courtesy.
He has no memory of that day., Curious.
Why are you here?, Would your charming companion be so kind as to kneel? My neck is beginning to hurt.
"Kneel, Hodor."," Do you like to ride, Bran?"
The boy has lost the use of his legs.," What of it? With the right horse and saddle, even a cripple can ride."
I'm not a cripple., Then I'm not a dwarf. My father will rejoice to hear it. I have a gift for you. Give that to your saddler. He'll provide the rest. You must shape the horse to the rider. Start with a yearling and teach it to respond to the reins and to the boy's voice.
Will I really be able to ride?,You will. On horseback you will be as tall as any of them.
Is this some kind of trick? Why do you want to help him?," I have a tender spot in my heart for cripples, bastards and broken things."
You've done my brother a kindness. The hospitality of Winterfell is yours.," Spare me your false courtesies, Lord Stark. There's a brothel outside your walls. There I'll find a bed and both of us can sleep easier."
"Couldn't resist some northern ass? If you like redheads, ask for Ros."," Come to see me off, Greyjoy? Kind of you. Your master doesn't seem to like Lannisters."
He's not my master.," No, of course not. What happened here? Where is lady Stark? Why didn't she receive me?"
She wasn't feeling well.," She's not in Winterfell, is she? Where did she go?"
My lady's whereabouts...," My lady? Your loyalty to your captors is touching. Tell me, how do you think Balon Greyjoy would feel if he could see his only surviving son has turned lackey? I still remember seeing my father's fleet burn in Lannisport. I believe your uncles were responsible?"
Must have been a pretty sight.," Nothing prettier than watching sailors burn alive. Yes, a great victory for your people. Shame how it all turned out."
We were outnumbered 10 to one.," A stupid rebellion then. I suppose your father realized that when your brothers died in battle. Now here you are, your enemy's squire."
"Careful, Imp."," I've offended you. Forgive me, it's been a rough morning. Anyway, don't despair. I'm a constant disappointment to my own father and I've learned to live with it. Your next tumble with Ros is on me. I'll try not to wear her out."
"I'm sorry, my Lord, we're full up. Every room."," My men can sleep in the stable. As for myself, I don't require a large room."
"Truly, my lord, we have nothing.", Is there nothing I can do... to remedy this?
You can have my room.," There's a clever man. You can manage food, I trust? Yoren, dine with me."
My Lord of Lannister! Might I entertain you while you eat? I can sing of your father's victory at King's Landing!, Nothing would more likely ruin my supper. Lady Stark! What an unexpected pleasure. I was sorry to have missed you at Winterfell.
Our lord is honored by his trust.," I envy your father all his fine friends, but I don't quite see the purpose of this."
"On that eve, the captive Imp down-wards from his horse did limp, no more would he preen and primp, in garb of red and gold. (singing)", This isn't the Kingsroad. You said we were riding for Winterfell.
I did... often and loudly.," Very wise. They'll be out in droves, looking for me in the wrong place. Word's probably gotten to my father by now. He'll be offering a handsome reward. Everyone knows a Lannister always pays his debts. Would you be so good as to untie me?"
And why would I do that?, Why not? Am I going to run? The hill tribes would kill me for my boots. Unless a Shadowcat ate me first.
Shadowcats and hill tribes are the least of your concerns.," Ah... the Eastern Road. We're going to The Vale. You're taking me to your sister's to answer for my imagined crimes. Tell me, Lady Stark. When was the last time you saw your sister?"
Five years ago.," She's changed. She was always a bit touched, but now... you might as well kill me here."
"I am not a murderer, Lannister.", Neither am I! I had nothing to do with the attempt on your son's life!
The dagger found, What sort of imbecile arms an assassin with his own blade?
Should I gag him?, Why? Am I starting to make sense?
Your first? You need a woman. Nothing like a woman after a fight.," Well, I'm willing if she is."
Give me 10 good men and some climbing spikes... I'll impregnate the bitch., I like you.
He's Tyrion the Imp of House Lannister. He killed your father. He murdered the Hand of the King!, Oh? Did I kill him too? I've been a very busy man.
You will watch your tongue! These men are Knights of the Vale. Every one of the loved Jon Arryn. Every one of them would die for me.," If any harm comes to me, my brother, Jaime, will see that they do."
Dwarf man making noise!, How would you like to be rich?
Dwarf man still making noise.," My family is rich. We have gold, lots of gold. I’m prepared to give you lots of gold."
No gold!," Well, I don’t have it here."
Noise again!, About the gold -
No gold!," Listen to me! Listen to me! Sometimes possession… is an abstract concept. When they captured me they took my purse, but the gold is still mine."
Where?," Where? I don’t know where, but when they free me -"
You want free? Go be free. (points out of the skycell)," Have you ever heard the phrase “Rich as a Lannister”? Of course you have. You’re a smart man. You know who the Lannisters are. I am a Lannister. Tyrion, son of Tywin! And of course, you have also heard the phrase, “a Lannister always pays his debts.” If you deliver a message from me to Lady Arryn, I will be in your debt. I will owe you gold. If you deliver the message and I live, which I very much intend to do."
What message?, Tell her I wish to confess my crimes.
You wish to confess your crimes?," Yes, my lady. I do, my lady."
"Skycells always break them. Speak, Imp. Meet your gods as an honest man."," Where do I begin, my lords and ladies? I’m a vile man, I confess it. My crimes and sins are beyond counting. I have lied and cheated, gambled and whored. I’m not particularly good at violence, but I’m good at convincing others to do violence for me. You want specifics, I suppose. When I was seven, I saw a servant girl bathing in the river. I stole her robe. She was forced to return to the castle, naked and in tears. I close my eyes, I can still see her tits bouncing. When I was ten, I stuffed my uncle’s boots with goatshit. When confronted with my crime, I blamed a squire. Poor boy was flogged and… I escaped justice. When I was twelve, I milked my eel into a pot of turtle stew. I flogged the one-eyed snake. I skinned my sausage. I made the bald man cry into the turtle stew, which I do believe my sister ate. At least I hope she did. I once brought a jackass and a honeycomb into a brothel -"
What do you think you’re doing?, Confessing my crimes.
"Lord Tyrion, you are accused of hiring a man to slay my son Bran in his bed, and of conspiring to murder my sister’s husband; Lord Jon Arryn, the Hand of the King."," Oh, I’m very sorry. I don’t know anything about all that."
"You’ve had your little joke. I trust you enjoyed it. Mord, take him back to the dungeon. But this time find a smaller cell, with a steeper floor."," Is this how justice is done in the Vale? you accuse me of crimes, I deny them, so you throw me in a cell to freeze and starve? Where is the King’s Justice? I’m accused and demand a trial."
"If you’re tried and found guilty, then by the king’s own laws you will pay with your life.", I understand the law.
"You want a trial, my Lord Lannister. Very well. My son will listen to whatever you have to say, and you will hear his judgement. Then you will leave, by one door or the other.", No need to bother Lord Robin. I demand a trial by combat.
"With all my heart, my Lady. But the Imp is half my size. It would be shameful to slaughter such a man and call it justice.", Agreed.
You demanded a trial by combat.," Now I demand a champion. I have that right, same as you."
"My Lady, I would gladly fight the Imp’s champion for you."," I wouldn’t be too glad, ser. I name my brother, Jaime Lannister."
The Kingslayer is hundreds of miles from here.," Send a raven for him, I’m happy to wait."
The trial will be today., Do I have a volunteer?
Can I make the little man fly now?, Not this little man. This little man is going home. I believe you have something of mine.
Will you shut up? There's hill tribes all around here.," If I'm going to die, it may as well be with a song in my heart."
"You don't think I'd do it, do you?"," What do you want, Bronn? Gold? Women? Golden women?"
Tyrion. Tyrion. Tyrion.," Come, share our fire."
"When you meet your Gods, you tell them Shagga Son of Dolf of the Stone Crows sent you.", I am Tyrion son of Tywin of Clan Lannister.
We have no use for a half man's promises.," Half a man maybe, but at least I have the courage to face my enemies."
You think you can win us over with your trinkets?, That trinket is worth more than everything your tribe owns.
"What is ""this""?", The Vale of Arryn.
The rumors of your demise were unfounded., Sorry to disappoint you.
You wouldn't know him.," May I present My Lord Father, Tywin son of Tytos of House Lannister."
"Jaime smashed the River Lords at the Golden Tooth, and now lays siege to Riverrun, Catelyn Stark's homeland.", And the Starks? Lord Eddard?
"The boy may lack experience and sense, but he does have a certain mindless provincial courage."," Oh, do continue. Didn't mean to interrupt."
"The great hairy one insisted he must have two battleaxes. Heavy black steel, double-sided.", Shagga likes axes.
"When the battle commences, you and your wildlings will be in the vanguard.", The vanguard? Me and the tribesmen on the front lines?
They do seem rather ferocious.," Ferocious? Last night a Moon Brother stabbed a Stone Crow over a sausage. Three Stone Crows seized the Moon Brother and opened his throat. Bronn managed to keep Shagga from chopping off the dead man's cock, which was fortunate, but even still, Ulf is demanding blood money, which Shagga and Gunthor refuse to pay."
"When soldiers lack discipline, the fault lies with their commander.", Surely there are ways to have me killed that would be less detrimental to the war effort.
There'll be no more discussion on the matter.," lt appears l'm not hungry after all. Excuse me, my lords."
l took her., Took her? From whom?
"From, uh, Ser What's-his-name? l don't know. Ginger cunt, three tents down.", And he didn't have anything to say about it?
He said something.," Well, the odds of me living long enough for him to retaliate have just dropped drastically. We'll be at the vanguard tomorrow."
Who would you like me to be?, What did your mother call you?
Shae. What did your mother call you?, My mother died giving birth to me.
ls that why l'm here? So we can talk about our mothers?, What sort of accent is that?
Foreign., For-
What do you want from me?," What do l want from you? l want you to share my tent. l want you to pour my wine, laugh at my jokes, rub my legs when they're sore after a day's ride. l want you to take no other man to bed for as long as we're together. And l want you to fuck me like it's my last night in this world. Which it may well be."
And what do l get?," One - safety. No one will hurt you for as long as you're mine. Two - the pleasure of my company, which l have heard is spectacular."
Who told you this? Women you paid?, And three - more gold than you can spend if you lived a thousand years. Do you accept my proposal?
"Are you in agony, my lion?", No.
You look like you're in agony. The fire is burning your pretty soft skin.," Ah! Damn you, woman. Are you immune to pain?"
Drink., Let's play a new game.
There's a Braavosi knife game l could teach you., Does it involve the potential for losing fingers?
Not if you win.," No! No fire games, no knife games. Let's do something l'm good at."
What are you good at?, l happen to be a great judge of character.
This sounds like a boring game.," lt's not. Here's how it works - l make a statement about your past. lf l'm right, you drink. lf l'm wrong, l drink. And no lying. l'll know if you're lying."
l don't want to play this game., Fine. Bronn first. Your father beat you.
But my mother hit harder., You killed your first man before you were 12.
"lt was a woman. (Tyrion drinks. Shae looks at Bronn, surprised.) She swung an axe at me.", You've been north of the Wall.
Work.," And you once loved a woman many years ago, but it turned out badly so you've never let yourself love again. Oh, wait, that's me. (Tyrion drinks) Your turn, my mysterious foreign beauty."
l don't want to play., lt's fun! Look at the fun we're having. Your mother was a whore.
Drink., And we've established the rules about lying?
The whole shit-stained world could drink off that one.," So, specifics… You wanted to be elsewhere, but how would you get there? l don't believe the life of the Silent Sisters is for you. So, what's a lowborn girl to do?"
Drink., Are you sure –
"Drink! And don't talk about my mother and father ever, or l will carve your eyes from your head."," My dear lady, if l have offended you, l apologize."
My turn.," Fine, fine. Ask away. Try to penetrate the enigma that is me."
Who were you in love with?, That's not how the game works.
Married?, How did you hear that?
You hear lots of things playing dice with Lannister soldiers.," Another night, perhaps."
Not another night. This night., lt's not a pleasant story.
l'm guessing the lady and l can tell more unpleasant stories than your lordship.," So l was 16. My brother Jaime and l were riding, when we heard a scream. She ran out onto the road, clothes half torn off, with two men on her heels. Jaime scared away the men easily enough, while l wrapped her in my cloak. She was too scared to send off on her own, so while Jaime hunted down the rapers l took her to the nearest inn and fed her. Her name was Tysha. She was a wheelwright's orphan. And she was hungry. Together we finished off three chickens and a flagon of wine. lmpossible as it seems, there was a time when l was unaccustomed to wine. l forgot how afraid l was around girls. how l was always waiting for them to laugh at me or look away embarrassed, or ask me about my tall, handsome brother. l forgot about everything but Tysha. And somehow l found myself in her bed."
"For three chickens, l should hope so."," lt didn't last long. l didn't know what the hell l was doing. But she was good to me. She kissed me afterwards and sang me a song. And by morning l was deep enough in love to ask for her hand. A few lies, a few gold coins, one drunken septon and there you have it - man and wife. For a fortnight anyway, until the septon sobered up and told my father."
"Well, l imagine that was the end of all that."," Not quite. First, my father had Jaime tell me the truth. The girl was a whore, you see. Jaime had arranged the whole thing - the road, the rapers, all of it. He thought it was time l had a woman. After my brother confessed, my father brought in my wife and gave her to his guards. He paid her well - a silver for each man. How many whores command that kind of price? He brought me into the barracks and made me watch. By the end, she had so much silver that the coins were slipping through her fingers and rolling on to the floor."
You should have known she was a whore.," Really? l was 16, drunk and in love."
A girl who was almost raped doesn't invite another man into her bed two hours later.," As l said, l was young and stupid."
You're sleeping through the war., What?
They stole a night's march on us. They're a mile north., Get my squire!
You don't have a squire.," lf l die, weep for me."
You'll be dead. How will you know?, l'll know.
Stay low., Stay low?
"lf you're lucky, no one will notice you."," l was born lucky. Tribesmen of the Vale, gather round! Stone Crows! Black Ears! Burned Men! Moon Brothers! And Painted Dogs! Your dominion over the Vale begins now! Onward, to claim what is yours!"
Half man! Half man! Half man! Half man! Half man! Half man!, To battle!
You're a shit warrior., l'm alive?
You're alive., Did we win?
We wouldn't be having this conversation if we didn't., How did our tribesmen do?
"Yeah, good.", lt's nice to see them getting along.
You're wounded., Good of you to notice. l hear we won.
"Huh! The scouts were wrong. There were 2,000 Stark bannermen, not 20 [thousand]."," Did we get the Stark boy, at least?"
He wasn't here., Where was he?
"With his other 18,000 men.", And where are they?
"I've been here, ruling the kingdoms."," What a fine job you've done. (Turns to Myrcella). Look at you. (Kisses her). More beautiful than ever. (Turns to Tommen). And you! You, you're going to be bigger than the Hound, but much better looking. (Tyrion smiles. He and Myrcella laugh). This one doesn't like me."
Her loss? Her father was a confessed traitor!, But still her father. Surely having so recently lost your own beloved father you can sympathize.
"My father was a traitor. My mother and brother are traitors, too. I am loyal to my beloved Joffrey.", Of course you are.
What are you doing here?," (Sits down) It's been a remarkable journey. I, (grabs a glass), pissed off the edge of the Wall, I slept in a sky cell. (Pours himself wine). I fought with the hill tribes. So many adventures, so much to be thankful for."
What are you doing here? This is the small council.," Yes., well, I, do believe the Hand of the King is welcome at all small council meetings."
Our father is Hand of the King.," Yes, but in his absence…"
Out! All of you out. (The small council members all get up and leave until it is only Cersei and Tyrion. Cersei stands up and approaches Tyrion). I would like to know how you tricked father into this.," If I were capable of tricking father, I'd be emperor of the world by now. You brought this on yourself. (Cersei sits down)."
I've done nothing., Quite right. You did nothing when your son called for Ned Stark's head. Now the entire North has risen up against us.
I tried to stop it., Did you? You failed. That bit of theater will haunt our family for a generation.
Robb Stark is a child., Who's won every battle he's fought. Do you understand we're losing the war?
What do you know about warfare?, Nothing. But I know people. And I know that our enemies hate each other almost as much as they hate us.
Joffrey is King., Joffrey is King.
You are here to advise him.," I'm only here to advise him. And if the King listens to what I say, the King might just get his Uncle Jaime back."
How?, You love your children. It's your one redeeming quality. That and your cheekbones. The Starks love their children as well. And we have two of them.
One., One?
"Arya, little animal, she disappeared."," Disappeared? What, in a puff of smoke? We had three Starks to trade. You chopped one's head off and let another escape. Father will be furious. It must be odd for you to be the disappointing child."
This city stinks Like dead bodies.," A bit corpsey, yes."
I love it., You love the smell of dead bodies and shit?
And cum and garlic and rum., You can smell cum from the balcony?
I love the stink. I love the noise. Cities make me want to fuck., And so did the country.
This is where I belong.," Yes, well, you need to be careful. No one can know you're here."
No one will know.," You can't trust anyone in King's Landing. They're all liars; good liars, bad liars, one or two great liars."
What about you?, Me? I'm not from here. I'm a slave to the truth.
Truth? (Laughs) You are the biggest little liar I have ever met.," Why do you think I am so little? I'm being, (Lays down on the bed with Shae), crushed beneath the weight of all that truth."
Would you like something for the pain?, What happened?
The murderer and traitor Stannis Baratheon suffered a stunning defeat at the hands of your father., Where am I?
Why would I lie about it?, To create strife between my sister and me.
"Where before there was nothing but love. Ser Mandon Moore tried to kill you on your sister's orders. If it weren't for your squire's bravery, you'd be a dead man.", Pod.
"Yes, my lord?", Would it be excessive of me to ask you to save my life twice in a week?
"No, my lord."," You're a good lad. Get Bronn, tell him I want four of his most loyal gold cloaks outside my door at all times."
I'm afraid your friend has been relieved of his command of the City Watch. The gold cloaks are now firmly in the hands of your father or your sister. It varies from cloak to cloak., Then my hill tribesmen.
"Have gone home. Your father paid them quite handsomely. I'm afraid we won't be seeing each other for some time, my lord.", Don't want to swim too close to a drowning man? And I thought we were friends.
My love., It was good of you to come.
I want to see you.," Believe me, you don't."
Have you looked?, (shakes his head)
You are a mess., I'm a monster as well as a dwarf. You should charge me double.
You think I'm here for money?, That was the arrangement we made. I pay you and you lie to me.
"Oh. I'm a poor little rich man and nobody loves me, so I make jokes all the time and pay them to laugh. Fuck your money. Let's leave.", Leave?
"Leave King's Landing. They tried to kill you. They will try again. Going into wars, fighting soldiers, you're terrible at this. Let's take a boat to Pentos and never come back. You don't belong here.", What would we do in Pentos?
"Eat, drink, fuck, live.", I want to go with you.
"So do it. Your father, your sister, all these bad people, they can't stop you. Forget about them. Come with me."," I can't. I do belong here. These bad people are what I'm good at. Out-talking them, out-thinking them. It's what I am. And I like it. I like it more than anything I've ever done. Are you going to leave?"
Your father has named Lord Tyrion to (Cersei scoffs) serve as hand in his stead., You brought this on yourself.
I’ve done nothing., Do you understand we’re losing the war?
We were just speaking of your bravery in the victory against the Stark auxiliary forces., It was quite a battle.
To find so lovely creature working in your father's kitchen. It almost beggars belief., (Begins to pour wine). Strange things do happen. You should taste her fish pie.
I can always tell., Men like Lord Varys and I can't let our disadvantages get the best of us. We'll make a fisherman of him yet. (Takes a sip).
"I am glad your new friend was able to accompany you to the capital. Friends are such an important part of life. Unfortunate that your father didn't want her to come. But rest easy my lord, I am very good at keeping secrets for my good friends."," Your discretion is legendary, where your friends are concerned."
Who threatened you?, I'm not Ned Stark. I understand the way this game is played.
Ned Stark was a man of honor., And I am not. Threaten me again and I will have you thrown into the sea.
"“From this time until the end of time, we are not part of your realm, but a free and independent Kingdom of the North.” (Rips up the letter). He has more spirit than his father, I'll give him that."," You've perfected the art of tearing up papers. Give him his father's bones back, at least, as a gesture of good faith."
"I will, Your Grace."," Safe travels, cousin."
"Another king? How many is that now, Five? I've lost count.", Lord Commander asks that we send more men to man The Wall.
Perhaps he's forgotten we're fighting a war. We have no men to spare.," Cold winds are rising, and the dead rise with them."
How do you kill a dead man?, Apparently you burn him.
"One trip to The Wall and you come back believing in grumpkins and snarks. (Walks away, followed by Varys)."," I don't know what I believe, but here's a fact for you. The Night's Watch is the only thing that separates us from what lies beyond the Wall."
"Apologies, my lord."," Leave us, Podrick. I believe we know how to pour our own wine."
(Podrick leaves). Is that your new squire? Could have found you a proper lad.," Myself, I prefer the improper ones."
"Hmm, that's a good red. Dornish?"," You know your wines, my lord."
"That I do. A fine dinner, my lord."," Call me Tyrion, please. I'm sure you're getting used to fine dinners, now that you're a lord."
Maybe I'll hire this cook of yours.,Wars have been started for less.
"Hmm. Nasty business, had to be done."," Yes, of course. City Watch must keep the peace. Only, I hadn't realized peace depended on killing babies."
Orders are orders., Quite right. Especially the queen's orders.
I never said they were the queen's orders.," No, but who else would want to murder King Robert's bastards? She's always been a jealous woman."
You know your sister better than I do., You've heard the awful rumors about my brother and sister.
I don't listen to filth.," That's good of you, but you have heard them. I suppose people who do believe that filth, consider Robert's bastards to be better claimants to the throne than Cersei's children."
"Joffrey is my king, the rest doesn't interest me. (Sips his wine).", I appreciate your loyalty. Tell me.
I did. And I would again. The man was a traitor. He tried to buy my loyalty., The fool! He had no idea you were already bought.
Are you drunk? I'll not have my honor questioned by an Imp.," I'm not questioning your honor, Lord Janos. I'm denying its existence."
"You think I'll stand here and take this from you, dwarf."," Dwarf? You should have stopped at imp. And yes, you will stand here and take it from me, unless you'd like to take it from my friend here."
What are you ta- My friends at court will not allow this. The queen herself -, The queen regent. And you're a fool to believe she's your friend.
We shall hear what Joffrey has to say about this.," No, we shan't."
These men are under my command. (Bronn laughs). I command you to arrest this cutthroat., His name is Bronn... and he is the new commander of the City Watch.
Lord Janos Slynt was Commander of the City Watch. You had no right to exile him., I have every right. I am the King's Hand.
You're serving as the King's Hand until father gets here. I am Queen Regent.," Listen to me, Queen Regent, you're losing the people. Do you hear me?"
"Ha, the people. You think I care?"," You might find it difficult to rule over millions who want you dead. Half the city will starve when winter comes. The other half will plot to overthrow you. And your gold-plated thugs just gave them the rallying cry, “The Queen slaughters babies.” (Cersei says nothing). You don't even have the decency to deny it."
"He did what needed to be done. (Now loudly). You want to be the Hand of the King? You want to rule? This is what ruling is! Lying on a bed of weeds, ripping them out by the root one by one before they strangle you in your sleep."," I'm no king, but I think there's more to ruling that that."
"I don't care what you think! You've never taken it seriously. You haven't, Jaime hasn't. (Sits down). It's all fallen on me."," (Tries not to laugh). As has Jaime repeatedly, according to Stannis Baratheon."
"You're funny. (Laughs). You've always been funny. But none of your jokes will ever match the first one, will they? You remember... back when you ripped my mother open on your way out of her and she bled to death.", She was my mother too.
